WeekEndDate,B.1.1.529,B.1.617.2,BA.1.1,BA.2,BA.2.12.1,BA.4,BA.5,Other,Cases,Death,CasesB.1.1.529,CasesB.1.617.2,CasesBA.1.1,CasesBA.2,CasesBA.2.12.1,CasesBA.4,CasesBA.5,CasesOther,DeathsB.1.1.529,DeathsB.1.617.2,DeathsBA.1.1,DeathsBA.2,DeathsBA.2.12.1,DeathsBA.4,DeathsBA.5,DeathsOther
5/8/2021,0,0.017674,0,0,0,0,0,0.982326,283444,4503,0,5010,0,0,0,0,0,278434,0,80,0,0,0,0,0,4423
5/15/2021,0,0.0242,0.000244,0,0,0,0,0.975556,227430,3865,0,5504,55,0,0,0,0,221871,0,94,1,0,0,0,0,3771
5/22/2021,0.000255,0.039283,0.000255,0,0,0,0,0.960207,175253,3625,45,6884,45,0,0,0,0,168279,1,142,1,0,0,0,0,3481
5/29/2021,0.00023,0.07238,0.00023,0,0,0,0,0.92716,142176,3243,33,10291,33,0,0,0,0,131820,1,235,1,0,0,0,0,3007
6/5/2021,0,0.142387,0.000587,0,0,0,0,0.857026,98979,2777,0,14093,58,0,0,0,0,84828,0,395,2,0,0,0,0,2380
6/12/2021,0,0.259911,0,0,0,0,0,0.740089,97303,2440,0,25290,0,0,0,0,0,72013,0,634,0,0,0,0,0,1806
6/19/2021,0,0.376819,0.00106,0,0,0,0,0.622121,81042,1806,0,30538,86,0,0,0,0,50418,0,681,2,0,0,0,0,1124
6/26/2021,0.000227,0.548831,0.000227,0,0,0,0,0.450715,89072,2084,20,48885,20,0,0,0,0,40146,0,1144,0,0,0,0,0,939
7/3/2021,0,0.704688,0,0,0,0,0,0.295312,97456,1633,0,68676,0,0,0,0,0,28780,0,1151,0,0,0,0,0,482
7/10/2021,0,0.821977,0,0,0,0,0,0.178023,139367,1510,0,114556,0,0,0,0,0,24811,0,1241,0,0,0,0,0,269
7/17/2021,0,0.877101,0,0,0,0,0,0.122899,235120,1974,0,206224,0,0,0,0,0,28896,0,1731,0,0,0,0,0,243
7/24/2021,0,0.943832,0,0,0,0,0,0.056168,381714,2165,0,360274,0,0,0,0,0,21440,0,2043,0,0,0,0,0,122
7/31/2021,0,0.963849,0,0,0,0,0,0.036151,576606,3087,0,555761,0,0,0,0,0,20845,0,2975,0,0,0,0,0,112
8/7/2021,0,0.966337,0,0,0,0,0,0.033663,779158,4736,0,752929,0,0,0,0,0,26229,0,4577,0,0,0,0,0,159
8/14/2021,0,0.987171,0,0,0,0,0,0.012829,912209,5917,0,900506,0,0,0,0,0,11703,0,5841,0,0,0,0,0,76
8/21/2021,0,0.985671,0,0,0,0,0,0.014329,1027596,8360,0,1012872,0,0,0,0,0,14724,0,8240,0,0,0,0,0,120
8/28/2021,0,0.978779,0,0,0,0,0,0.021221,1109389,10407,0,1085847,0,0,0,0,0,23542,0,10186,0,0,0,0,0,221
9/4/2021,0,0.987798,0,0,0,0,0,0.012202,1138777,11618,0,1124882,0,0,0,0,0,13895,0,11476,0,0,0,0,0,142
9/11/2021,0,0.988326,0,0,0,0,0,0.011674,1034871,12181,0,1022790,0,0,0,0,0,12081,0,12039,0,0,0,0,0,142
9/18/2021,0,0.984972,0,0,0,0,0,0.015028,1005813,13299,0,990698,0,0,0,0,0,15115,0,13099,0,0,0,0,0,200
9/25/2021,0,0.987502,0,0,0,0,0,0.012498,826177,13057,0,815851,0,0,0,0,0,10326,0,12894,0,0,0,0,0,163
10/2/2021,0.000032,0.986774,0.000081,0,0,0,0,0.013113,740043,12266,24,730255,60,0,0,0,0,9704,0,12104,1,0,0,0,0,161
10/9/2021,0,0.984891,0.000025,0,0,0,0,0.015084,658260,11294,0,648314,16,0,0,0,0,9929,0,11123,0,0,0,0,0,170
10/16/2021,0,0.986675,0,0,0,0,0,0.013325,571726,9844,0,564108,0,0,0,0,0,7618,0,9713,0,0,0,0,0,131
10/23/2021,0.000014,0.98567,0,0,0,0,0,0.014316,481135,9657,7,474240,0,0,0,0,0,6888,0,9519,0,0,0,0,0,138
10/30/2021,0.000027,0.988675,0.00001,0,0,0,0,0.011288,502599,8520,14,496907,5,0,0,0,0,5673,0,8424,0,0,0,0,0,96
11/6/2021,0,0.981576,0,0,0,0,0,0.018424,502945,7570,0,493679,0,0,0,0,0,9266,0,7431,0,0,0,0,0,139
11/13/2021,0,0.981933,0,0,0,0,0,0.018067,573820,7464,0,563453,0,0,0,0,0,10367,0,7329,0,0,0,0,0,135
11/20/2021,0,0.979024,0.000056,0,0,0,0,0.02092,644098,7040,0,630587,36,0,0,0,0,13475,0,6892,0,0,0,0,0,147
11/27/2021,0.00055,0.988454,0.000135,0,0,0,0,0.010861,597346,5330,329,590449,81,0,0,0,0,6488,3,5268,1,0,0,0,0,58
12/4/2021,0.006128,0.989592,0.001399,0,0,0,0,0.002881,768871,8253,4712,760869,1076,0,0,0,0,2215,51,8167,12,0,0,0,0,24
12/11/2021,0.053843,0.920224,0.022805,0,0,0,0,0.003128,831958,8148,44795,765588,18973,0,0,0,0,2602,439,7498,186,0,0,0,0,25
12/18/2021,0.228685,0.620697,0.145002,0.000219,0.000187,0.000045,0.000006,0.005159,928840,8721,212412,576528,134684,203,174,42,6,4792,1994,5413,1265,2,2,0,0,45
12/25/2021,0.394754,0.262761,0.335006,0.000012,0.000004,0,0,0.007463,1478267,8124,583552,388431,495228,18,6,0,0,11032,3207,2135,2722,0,0,0,0,61
1/1/2022,0.44095,0.10397,0.445465,0.000125,0.000022,0,0,0.009468,2950313,8766,1300941,306744,1314261,369,65,0,0,27934,3865,911,3905,1,0,0,0,83
1/8/2022,0.415898,0.045846,0.534489,0.001058,0.000005,0,0,0.002704,4916920,11719,2044937,225421,2628040,5202,25,0,0,13295,4874,537,6264,12,0,0,0,32
1/15/2022,0.356069,0.019441,0.621398,0.001812,0,0,0,0.00128,5676022,14561,2021055,110348,3527069,10285,0,0,0,7265,5185,283,9048,26,0,0,0,19
1/22/2022,0.323728,0.008397,0.663997,0.003647,0,0,0,0.000231,4937466,15854,1598396,41460,3278463,18007,0,0,0,1141,5132,133,10527,58,0,0,0,4
1/29/2022,0.282666,0.005388,0.703951,0.007802,0,0,0,0.000193,3703399,18450,1046825,19954,2607011,28894,0,0,0,715,5215,99,12988,144,0,0,0,4
2/5/2022,0.249899,0.002319,0.738129,0.009533,0,0,0,0.00012,2068760,18489,516981,4797,1527012,19721,0,0,0,248,4620,43,13647,176,0,0,0,2
2/12/2022,0.216391,0.001527,0.761409,0.020619,0,0,0,0.000054,1183676,17282,256137,1807,901262,24406,0,0,0,64,3740,26,13159,356,0,0,0,1
2/19/2022,0.192316,0.001091,0.769908,0.036263,0.000074,0,0,0.000348,686408,14777,132007,749,528471,24891,51,0,0,239,2842,16,11377,536,1,0,0,5
2/26/2022,0.169372,0.001833,0.756499,0.070331,0.000813,0.000106,0.000053,0.000993,447237,13008,75749,820,338334,31455,364,47,24,444,2203,24,9841,915,11,1,1,13
3/5/2022,0.139167,0.00123,0.723264,0.134353,0.001236,0,0,0.00075,295609,9587,41139,364,213803,39716,365,0,0,222,1334,12,6934,1288,12,0,0,7
3/12/2022,0.113174,0.000902,0.62663,0.253433,0.005477,0,0,0.000384,230217,8800,26055,208,144261,58345,1261,0,0,88,996,8,5514,2230,48,0,0,3
3/19/2022,0.074378,0.001431,0.501472,0.404795,0.016977,0,0,0.000947,185944,6709,13830,266,93246,75269,3157,0,0,176,499,10,3364,2716,114,0,0,6
3/26/2022,0.042265,0.000781,0.329922,0.587057,0.039738,0,0,0.000237,182365,4959,7708,142,60166,107059,7247,0,0,43,210,4,1636,2911,197,0,0,1
4/2/2022,0.020837,0.000318,0.192956,0.70195,0.082239,0.00004,0.000701,0.000959,179312,4144,3736,57,34599,125868,14746,7,126,172,86,1,800,2909,341,0,3,4
4/9/2022,0.009207,0.00023,0.100006,0.732321,0.156387,0.000224,0.000132,0.001493,207110,3614,1907,48,20712,151671,32389,46,27,309,33,1,361,2647,565,1,0,5
4/16/2022,0.005614,0.000254,0.051031,0.733575,0.206608,0.0005,0.000793,0.001625,254355,2603,1428,65,12980,186588,52552,127,202,413,15,1,133,1909,538,1,2,4
4/23/2022,0.001742,0.000184,0.026502,0.694986,0.272957,0.001334,0.000247,0.002048,326532,2498,569,60,8654,226935,89129,436,81,669,4,0,66,1736,682,3,1,5
4/30/2022,0.001415,0.000107,0.013196,0.619996,0.359269,0.002558,0.002269,0.00119,405107,2224,573,43,5346,251165,145542,1036,919,482,3,0,29,1379,799,6,5,3
5/7/2022,0.000441,0,0.005555,0.536883,0.445172,0.006426,0.004306,0.001217,498067,2633,220,0,2767,267404,221725,3201,2145,606,1,0,15,1414,1172,17,11,3
5/14/2022,0.000836,0.000093,0.003322,0.456146,0.518095,0.010236,0.010686,0.000586,635468,2001,531,59,2111,289866,329233,6505,6791,372,2,0,7,913,1037,20,21,1
5/21/2022,0.00035,0.000057,0.001622,0.369888,0.584163,0.019308,0.023748,0.000864,768274,2116,269,44,1246,284175,448797,14834,18245,664,1,0,3,783,1236,41,50,2
5/28/2022,0.000076,0,0.00072,0.287956,0.631069,0.034495,0.044959,0.000725,770460,2346,59,0,555,221859,486213,26577,34639,559,0,0,2,676,1480,81,105,2
6/4/2022,0.000202,0.000166,0.000486,0.224159,0.617458,0.061432,0.095545,0.000552,712058,1968,144,118,346,159614,439666,43743,68034,393,0,0,1,441,1215,121,188,1
6/11/2022,0.000056,0,0.000156,0.163272,0.574657,0.089732,0.171673,0.000454,754937,2301,42,0,118,123260,433830,67742,129602,343,0,0,0,376,1322,206,395,1
6/18/2022,0,0,0.00018,0.10977,0.504475,0.112037,0.273538,0,691244,2133,0,0,124,75878,348715,77445,189082,0,0,0,0,234,1076,239,583,0
6/25/2022,0.000002,0,0.000003,0.054274,0.392359,0.148065,0.405227,0.00007,741770,2354,1,0,2,40259,291040,109830,300585,52,0,0,0,128,924,349,954,0
7/2/2022,0.000001,0,0.000001,0.028171,0.271614,0.164593,0.535587,0.000033,791103,2393,1,0,1,22286,214875,130210,423704,26,0,0,0,67,650,394,1282,0
