WeekEndDate,B.1.1.529,B.1.617.2,BA.1.1,BA.2,BA.2.12.1,BA.4,BA.5,Other
5/8/2021,0,0.017674,0,0,0,0,0,0.982326
5/15/2021,0,0.0242,0.000244,0,0,0,0,0.975556
5/22/2021,0.000255,0.039283,0.000255,0,0,0,0,0.960207
5/29/2021,0.00023,0.07238,0.00023,0,0,0,0,0.92716
6/5/2021,0,0.142387,0.000587,0,0,0,0,0.857026
6/12/2021,0,0.259911,0,0,0,0,0,0.740089
6/19/2021,0,0.376819,0.00106,0,0,0,0,0.622121
6/26/2021,0.000227,0.548831,0.000227,0,0,0,0,0.450715
7/3/2021,0,0.704688,0,0,0,0,0,0.295312
7/10/2021,0,0.821977,0,0,0,0,0,0.178023
7/17/2021,0,0.877101,0,0,0,0,0,0.122899
7/24/2021,0,0.943832,0,0,0,0,0,0.056168
7/31/2021,0,0.963849,0,0,0,0,0,0.036151
8/7/2021,0,0.966337,0,0,0,0,0,0.033663
8/14/2021,0,0.987171,0,0,0,0,0,0.012829
8/21/2021,0,0.985671,0,0,0,0,0,0.014329
8/28/2021,0,0.978779,0,0,0,0,0,0.021221
9/4/2021,0,0.987798,0,0,0,0,0,0.012202
9/11/2021,0,0.988326,0,0,0,0,0,0.011674
9/18/2021,0,0.984972,0,0,0,0,0,0.015028
9/25/2021,0,0.987502,0,0,0,0,0,0.012498
10/2/2021,0.000032,0.986774,0.000081,0,0,0,0,0.013113
10/9/2021,0,0.984891,0.000025,0,0,0,0,0.015084
10/16/2021,0,0.986675,0,0,0,0,0,0.013325
10/23/2021,0.000014,0.98567,0,0,0,0,0,0.014316
10/30/2021,0.000027,0.988675,0.00001,0,0,0,0,0.011288
11/6/2021,0,0.981576,0,0,0,0,0,0.018424
11/13/2021,0,0.981933,0,0,0,0,0,0.018067
11/20/2021,0,0.979024,0.000056,0,0,0,0,0.02092
11/27/2021,0.00055,0.988454,0.000135,0,0,0,0,0.010861
12/4/2021,0.006128,0.989592,0.001399,0,0,0,0,0.002881
12/11/2021,0.053843,0.920224,0.022805,0,0,0,0,0.003128
12/18/2021,0.228685,0.620697,0.145002,0.000219,0.000187,0.000045,0.000006,0.005159
12/25/2021,0.394754,0.262761,0.335006,0.000012,0.000004,0,0,0.007463
1/1/2022,0.44095,0.10397,0.445465,0.000125,0.000022,0,0,0.009468
1/8/2022,0.415898,0.045846,0.534489,0.001058,0.000005,0,0,0.002704
1/15/2022,0.356069,0.019441,0.621398,0.001812,0,0,0,0.00128
1/22/2022,0.323728,0.008397,0.663997,0.003647,0,0,0,0.000231
1/29/2022,0.282666,0.005388,0.703951,0.007802,0,0,0,0.000193
2/5/2022,0.249899,0.002319,0.738129,0.009533,0,0,0,0.00012
2/12/2022,0.216391,0.001527,0.761409,0.020619,0,0,0,0.000054
2/19/2022,0.192316,0.001091,0.769908,0.036263,0.000074,0,0,0.000348
2/26/2022,0.169372,0.001833,0.756499,0.070331,0.000813,0.000106,0.000053,0.000993
3/5/2022,0.139167,0.00123,0.723264,0.134353,0.001236,0,0,0.00075
3/12/2022,0.113174,0.000902,0.62663,0.253433,0.005477,0,0,0.000384
3/19/2022,0.074378,0.001431,0.501472,0.404795,0.016977,0,0,0.000947
3/26/2022,0.042265,0.000781,0.329922,0.587057,0.039738,0,0,0.000237
4/2/2022,0.020837,0.000318,0.192956,0.70195,0.082239,0.00004,0.000701,0.000959
4/9/2022,0.009207,0.00023,0.100006,0.732321,0.156387,0.000224,0.000132,0.001493
4/16/2022,0.005614,0.000254,0.051031,0.733575,0.206608,0.0005,0.000793,0.001625
4/23/2022,0.001742,0.000184,0.026502,0.694986,0.272957,0.001334,0.000247,0.002048
4/30/2022,0.001415,0.000107,0.013196,0.619996,0.359269,0.002558,0.002269,0.00119
5/7/2022,0.000441,0,0.005555,0.536883,0.445172,0.006426,0.004306,0.001217
5/14/2022,0.000836,0.000093,0.003322,0.456146,0.518095,0.010236,0.010686,0.000586
5/21/2022,0.00035,0.000057,0.001622,0.369888,0.584163,0.019308,0.023748,0.000864
5/28/2022,0.000076,0,0.00072,0.287956,0.631069,0.034495,0.044959,0.000725
6/4/2022,0.000202,0.000166,0.000486,0.224159,0.617458,0.061432,0.095545,0.000552
6/11/2022,0.000056,0,0.000156,0.163272,0.574657,0.089732,0.171673,0.000454
6/18/2022,0,0,0.00018,0.10977,0.504475,0.112037,0.273538,0
6/25/2022,0.000002,0,0.000003,0.054274,0.392359,0.148065,0.405227,0.00007
7/2/2022,0.000001,0,0.000001,0.028171,0.271614,0.164593,0.535587,0.000033
